year,证券代码,代码,公司名称,ESG综合评级
2015,1,000001.SZ,平安银行,B-
2016,1,000001.SZ,平安银行,B-
2017,1,000001.SZ,平安银行,B
2018,1,000001.SZ,平安银行,B
2019,1,000001.SZ,平安银行,B+
2020,1,000001.SZ,平安银行,B+
2021,1,000001.SZ,平安银行,B+
2022,1,000001.SZ,平安银行,B+
2023,1,000001.SZ,平安银行,A-
2015,2,000002.SZ,万科,C+
2016,2,000002.SZ,万科,C
2017,2,000002.SZ,万科,C
2018,2,000002.SZ,万科,B-
2019,2,000002.SZ,万科,C+
2020,2,000002.SZ,万科,B-
2021,2,000002.SZ,万科,B
2022,2,000002.SZ,万科,B+
2023,2,000002.SZ,万科,B+
2018,6,000006.SZ,深振业,B-
2019,6,000006.SZ,深振业,B
2017,8,000008.SZ,神州高铁,C+
2018,8,000008.SZ,神州高铁,C+
2019,8,000008.SZ,神州高铁,C+
2020,8,000008.SZ,神州高铁,B-
2015,9,000009.SZ,宝安集团,C+
2016,9,000009.SZ,宝安集团,C+
2017,9,000009.SZ,宝安集团,C+
2018,9,000009.SZ,宝安集团,B-
2019,9,000009.SZ,宝安集团,B-
2020,9,000009.SZ,宝安集团,B-
2021,9,000009.SZ,宝安集团,B-
2022,9,000009.SZ,宝安集团,B-
2023,9,000009.SZ,宝安集团,C+
2018,12,000012.SZ,南玻集团,B
2019,12,000012.SZ,南玻集团,B
2020,12,000012.SZ,南玻集团,B
2021,12,000012.SZ,南玻集团,B-
2022,12,000012.SZ,南玻集团,B-
2023,12,000012.SZ,南玻集团,B-
2018,21,000021.SZ,深科技,B
2019,21,000021.SZ,深科技,B
2020,21,000021.SZ,深科技,B
2021,21,000021.SZ,深科技,B
2022,21,000021.SZ,深科技,B
2023,21,000021.SZ,深科技,B
2018,25,000025.SZ,特力A,B-
2019,25,000025.SZ,特力A,B-
2020,25,000025.SZ,特力A,B-
2015,27,000027.SZ,深圳能源,B-
2016,27,000027.SZ,深圳能源,B-
2016,27,000027.SZ,深圳能源,B-
2018,27,000027.SZ,深圳能源,C+
2019,27,000027.SZ,深圳能源,B-
2020,27,000027.SZ,深圳能源,B
2021,27,000027.SZ,深圳能源,B
2022,27,000027.SZ,深圳能源,B+
2023,27,000027.SZ,深圳能源,B+
2018,28,000028.SZ,国药一致,B
2019,28,000028.SZ,国药一致,B
2020,28,000028.SZ,国药一致,B
2021,28,000028.SZ,国药一致,B
2022,28,000028.SZ,国药一致,B+
2018,31,000031.SZ,大悦城控股,C+
2019,31,000031.SZ,大悦城控股,C+
2020,31,000031.SZ,大悦城控股,C+
2021,31,000031.SZ,大悦城控股,C+
2022,31,000031.SZ,大悦城控股,B
2023,31,000031.SZ,大悦城控股,B
2015,39,000039.SZ,中集集团,B
2016,39,000039.SZ,中集集团,B-
2016,39,000039.SZ,中集集团,B-
2018,39,000039.SZ,中集集团,B
2019,39,000039.SZ,中集集团,B+
2020,39,000039.SZ,中集集团,B+
2021,39,000039.SZ,中集集团,A-
2022,39,000039.SZ,中集集团,A-
2023,39,000039.SZ,中集集团,A-
2015,46,000046.SZ,泛海控股,B
2016,46,000046.SZ,泛海控股,B
2020,46,000046.SZ,泛海控股,B-
2021,46,000046.SZ,泛海控股,B-
2018,49,000049.SZ,德赛电池,C+
2020,50,000050.SZ,天马,B+
2021,50,000050.SZ,天马,B+
2022,50,000050.SZ,天马,B+
2023,50,000050.SZ,天马,B+
2015,60,000060.SZ,中金岭南,B-
2016,60,000060.SZ,中金岭南,B
2017,60,000060.SZ,中金岭南,B-
2018,60,000060.SZ,中金岭南,B-
2019,60,000060.SZ,中金岭南,B-
2020,60,000060.SZ,中金岭南,B-
2021,60,000060.SZ,中金岭南,B-
2022,60,000060.SZ,中金岭南,B
2023,60,000060.SZ,中金岭南,B
2015,61,000061.SZ,农产品,B-
2016,61,000061.SZ,农产品,C+
2017,61,000061.SZ,农产品,B-
2018,61,000061.SZ,农产品,B-
2019,61,000061.SZ,农产品,B-
2020,61,000061.SZ,农产品,B-
2021,61,000061.SZ,农产品,B
2018,62,000062.SZ,深圳华强,C+
2019,62,000062.SZ,深圳华强,B-
2020,62,000062.SZ,深圳华强,B-
2021,62,000062.SZ,深圳华强,B-
2022,62,000062.SZ,深圳华强,B-
2015,63,000063.SZ,中兴通讯,B+
2016,63,000063.SZ,中兴通讯,B+
2017,63,000063.SZ,中兴通讯,B+
2018,63,000063.SZ,中兴通讯,B+
2019,63,000063.SZ,中兴通讯,A-
2020,63,000063.SZ,中兴通讯,A-
2021,63,000063.SZ,中兴通讯,A-
2022,63,000063.SZ,中兴通讯,A-
2023,63,000063.SZ,中兴通讯,A-
2018,66,000066.SZ,中国长城,B-
2019,66,000066.SZ,中国长城,B
2020,66,000066.SZ,中国长城,B
2021,66,000066.SZ,中国长城,B
2022,66,000066.SZ,中国长城,B
2023,66,000066.SZ,中国长城,B
2015,69,000069.SZ,华侨城,C
2016,69,000069.SZ,华侨城,B-
2017,69,000069.SZ,华侨城,B
2018,69,000069.SZ,华侨城,B-
2019,69,000069.SZ,华侨城,B-
2020,69,000069.SZ,华侨城,C+
2021,69,000069.SZ,华侨城,B-
2022,69,000069.SZ,华侨城,B
2023,69,000069.SZ,华侨城,B
2018,78,000078.SZ,海王生物,B-
2019,78,000078.SZ,海王生物,C+
2020,78,000078.SZ,海王生物,B-
2021,78,000078.SZ,海王生物,B-
2018,89,000089.SZ,深圳机场,B-
2019,89,000089.SZ,深圳机场,B-
2020,89,000089.SZ,深圳机场,B
2021,89,000089.SZ,深圳机场,B
2022,89,000089.SZ,深圳机场,B
2023,89,000089.SZ,深圳机场,B
2018,90,000090.SZ,天健集团,C+
2019,90,000090.SZ,天健集团,B-
2020,90,000090.SZ,天健集团,B-
2021,90,000090.SZ,天健集团,B
2015,100,000100.SZ,TCL科技,C+
2016,100,000100.SZ,TCL科技,C+
2017,100,000100.SZ,TCL科技,B+
2018,100,000100.SZ,TCL科技,B+
2019,100,000100.SZ,TCL科技,B+
2020,100,000100.SZ,TCL科技,B+
2021,100,000100.SZ,TCL科技,B+
2022,100,000100.SZ,TCL科技,B+
2023,100,000100.SZ,TCL科技,B+
2023,155,000155.SZ,川能动力,B-
2015,156,000156.SZ,华数传媒,B-
2016,156,000156.SZ,华数传媒,B-
2017,156,000156.SZ,华数传媒,B-
2018,156,000156.SZ,华数传媒,B
2019,156,000156.SZ,华数传媒,B
2020,156,000156.SZ,华数传媒,B
2021,156,000156.SZ,华数传媒,B
2022,156,000156.SZ,华数传媒,B
2023,156,000156.SZ,华数传媒,B
2015,157,000157.SZ,中联重科,C+
2016,157,000157.SZ,中联重科,B-
2017,157,000157.SZ,中联重科,B
2018,157,000157.SZ,中联重科,B-
2019,157,000157.SZ,中联重科,B
2020,157,000157.SZ,中联重科,B-
2021,157,000157.SZ,中联重科,B+
2022,157,000157.SZ,中联重科,B+
2023,157,000157.SZ,中联重科,B+
2018,158,000158.SZ,常山北明,C+
2019,158,000158.SZ,常山北明,B-
2020,158,000158.SZ,常山北明,B-
2021,158,000158.SZ,常山北明,B-
2022,158,000158.SZ,常山北明,B-
2015,166,000166.SZ,申万宏源,B
2016,166,000166.SZ,申万宏源,B
2017,166,000166.SZ,申万宏源,B
2018,166,000166.SZ,申万宏源,B
2019,166,000166.SZ,申万宏源,B-
2020,166,000166.SZ,申万宏源,B+
2021,166,000166.SZ,申万宏源,B+
2022,166,000166.SZ,申万宏源,B+
2023,166,000166.SZ,申万宏源,B+
2019,301,000301.SZ,东方盛虹,B-
2020,301,000301.SZ,东方盛虹,B
2022,301,000301.SZ,东方盛虹,B
2023,301,000301.SZ,东方盛虹,B
2015,333,000333.SZ,美的集团,C+
2016,333,000333.SZ,美的集团,C
2017,333,000333.SZ,美的集团,C+
2018,333,000333.SZ,美的集团,C
2019,333,000333.SZ,美的集团,B-
2020,333,000333.SZ,美的集团,B-
2021,333,000333.SZ,美的集团,B+
2022,333,000333.SZ,美的集团,B+
2023,333,000333.SZ,美的集团,B+
2015,338,000338.SZ,潍柴动力,B
2016,338,000338.SZ,潍柴动力,B
2017,338,000338.SZ,潍柴动力,B
2018,338,000338.SZ,潍柴动力,B+
2019,338,000338.SZ,潍柴动力,B
2020,338,000338.SZ,潍柴动力,B+
2021,338,000338.SZ,潍柴动力,B+
2022,338,000338.SZ,潍柴动力,A-
2023,338,000338.SZ,潍柴动力,A-
2015,400,000400.SZ,许继电气,B
2015,400,000400.SZ,许继电气,B
2015,400,000400.SZ,许继电气,B
2018,400,000400.SZ,许继电气,B
2019,400,000400.SZ,许继电气,B
2020,400,000400.SZ,许继电气,B
2021,400,000400.SZ,许继电气,B
2022,400,000400.SZ,许继电气,B-
2023,400,000400.SZ,许继电气,B
2018,401,000401.SZ,冀东水泥,C
2019,401,000401.SZ,冀东水泥,C+
2020,401,000401.SZ,冀东水泥,C+
2021,401,000401.SZ,冀东水泥,C+
2022,401,000401.SZ,冀东水泥,B-
2023,401,000401.SZ,冀东水泥,C+
2015,402,000402.SZ,金融街,B-
2016,402,000402.SZ,金融街,B-
2017,402,000402.SZ,金融街,B-
2018,402,000402.SZ,金融街,B-
2019,402,000402.SZ,金融街,C+
2020,402,000402.SZ,金融街,B-
2021,402,000402.SZ,金融街,B-
2022,402,000402.SZ,金融街,B
2023,402,000402.SZ,金融街,B
2019,408,000408.SZ,藏格控股,B-
2022,408,000408.SZ,藏格矿业,C+
2023,408,000408.SZ,藏格矿业,B+
2015,413,000413.SZ,东旭光电,B-
2016,413,000413.SZ,东旭光电,B+
2017,413,000413.SZ,东旭光电,B+
2018,413,000413.SZ,东旭光电,B-
2019,413,000413.SZ,东旭光电,B
2016,415,000415.SZ,渤海租赁,B-
2017,415,000415.SZ,渤海租赁,C+
2018,415,000415.SZ,渤海租赁,B-
2019,415,000415.SZ,渤海租赁,B-
2020,415,000415.SZ,渤海租赁,B+
2021,415,000415.SZ,渤海租赁,B
2022,415,000415.SZ,渤海租赁,B-
2023,415,000415.SZ,渤海租赁,B-
2015,423,000423.SZ,东阿阿胶,B-
2016,423,000423.SZ,东阿阿胶,B-
2017,423,000423.SZ,东阿阿胶,B-
2018,423,000423.SZ,东阿阿胶,B
2019,423,000423.SZ,东阿阿胶,B
2023,423,000423.SZ,东阿阿胶,B+
2015,425,000425.SZ,徐工机械,C+
2016,425,000425.SZ,徐工机械,B-
2017,425,000425.SZ,徐工机械,B-
2018,425,000425.SZ,徐工机械,B
2019,425,000425.SZ,徐工机械,B
2020,425,000425.SZ,徐工机械,B
2021,425,000425.SZ,徐工机械,B
2022,425,000425.SZ,徐工机械,B
2023,425,000425.SZ,徐工机械,B
2018,426,000426.SZ,兴业矿业,B-
2019,426,000426.SZ,兴业矿业,C+
2018,488,000488.SZ,晨鸣纸业,B
2019,488,000488.SZ,晨鸣纸业,B
2020,488,000488.SZ,晨鸣纸业,B-
2021,488,000488.SZ,晨鸣纸业,B
2022,488,000488.SZ,晨鸣纸业,B+
2018,501,000501.SZ,武商集团,B-
2019,501,000501.SZ,武商集团,B-
2020,501,000501.SZ,武商集团,B-
2021,501,000501.SZ,武商集团,B-
2015,503,000503.SZ,国新健康,C+
2016,503,000503.SZ,国新健康,B-
2017,503,000503.SZ,国新健康,B-
2018,503,000503.SZ,国新健康,B-
2018,513,000513.SZ,丽珠集团,B+
2019,513,000513.SZ,丽珠集团,B+
2020,513,000513.SZ,丽珠集团,B+
2021,513,000513.SZ,丽珠集团,A-
2022,513,000513.SZ,丽珠集团,A-
2023,513,000513.SZ,丽珠集团,A-
2018,519,000519.SZ,中兵红箭,B-
2019,519,000519.SZ,中兵红箭,B-
2020,519,000519.SZ,中兵红箭,C+
2021,519,000519.SZ,中兵红箭,C+
2022,519,000519.SZ,中兵红箭,B-
2023,519,000519.SZ,中兵红箭,B-
2018,528,000528.SZ,柳工,B
2019,528,000528.SZ,柳工,B
2020,528,000528.SZ,柳工,B
2021,528,000528.SZ,柳工,B
2022,528,000528.SZ,柳工,B-
2018,536,000536.SZ,华映科技,B-
2019,536,000536.SZ,华映科技,B-
2019,537,000537.SZ,广宇发展,B-
2020,537,000537.SZ,广宇发展,B-
2021,537,000537.SZ,广宇发展,B-
2022,537,000537.SZ,广宇发展,B
2023,537,000537.SZ,广宇发展,B
2015,538,000538.SZ,云南白药,B
2016,538,000538.SZ,云南白药,B
2017,538,000538.SZ,云南白药,B
2018,538,000538.SZ,云南白药,B+
2019,538,000538.SZ,云南白药,B
2020,538,000538.SZ,云南白药,B
2021,538,000538.SZ,云南白药,B+
2022,538,000538.SZ,云南白药,A-
2023,538,000538.SZ,云南白药,A-
2015,539,000539.SZ,粤电力,B
2016,540,000540.SZ,中天金融,B-
2017,540,000540.SZ,中天金融,B-
2018,540,000540.SZ,中天金融,B-
2021,540,000540.SZ,中天金融,B-
2018,541,000541.SZ,佛山照明,C+
2019,541,000541.SZ,佛山照明,B-
2018,543,000543.SZ,皖能电力,C+
2019,543,000543.SZ,皖能电力,B-
2020,543,000543.SZ,皖能电力,B-
2018,547,000547.SZ,航天发展,B-
2019,547,000547.SZ,航天发展,B-
2020,547,000547.SZ,航天发展,B-
2021,547,000547.SZ,航天发展,B-
2022,547,000547.SZ,航天发展,B-
2023,547,000547.SZ,航天发展,B-
2018,552,000552.SZ,靖远煤电,C+
2019,552,000552.SZ,靖远煤电,C+
2018,553,000553.SZ,安道麦,B+
2019,553,000553.SZ,安道麦,B+
2020,553,000553.SZ,安道麦,B
2021,553,000553.SZ,安道麦,B+
2022,553,000553.SZ,安道麦,B
2023,553,000553.SZ,安道麦,B
2017,555,000555.SZ,神州信息,B-
2015,559,000559.SZ,万向钱潮,B-
2016,559,000559.SZ,万向钱潮,C+
2017,559,000559.SZ,万向钱潮,C+
2018,559,000559.SZ,万向钱潮,B-
2019,559,000559.SZ,万向钱潮,B-
2020,559,000559.SZ,万向钱潮,B
2021,559,000559.SZ,万向钱潮,B-
2022,559,000559.SZ,万向钱潮,B
2023,559,000559.SZ,万向钱潮,B
2018,563,000563.SZ,陕国投,B
2019,563,000563.SZ,陕国投,B
2020,563,000563.SZ,陕国投,B
2021,563,000563.SZ,陕国投,B
2022,563,000563.SZ,陕国投,B
2023,563,000563.SZ,陕国投,B
2019,564,000564.SZ,供销大集,B-
2020,564,000564.SZ,供销大集,B-
2018,566,000566.SZ,海南海药,C+
2015,568,000568.SZ,泸州老窖,C+
2016,568,000568.SZ,泸州老窖,C+
2017,568,000568.SZ,泸州老窖,C+
2018,568,000568.SZ,泸州老窖,C+
2019,568,000568.SZ,泸州老窖,C+
2020,568,000568.SZ,泸州老窖,B-
2021,568,000568.SZ,泸州老窖,B-
2022,568,000568.SZ,泸州老窖,B
2023,568,000568.SZ,泸州老窖,B
2018,572,000572.SZ,海马汽车,C+
2015,581,000581.SZ,威孚高科,B
2015,581,000581.SZ,威孚高科,B
2015,581,000581.SZ,威孚高科,B
2018,581,000581.SZ,威孚高科,B
2019,581,000581.SZ,威孚高科,B
2020,581,000581.SZ,威孚高科,B-
2021,581,000581.SZ,威孚高科,B-
2022,581,000581.SZ,威孚高科,B
2023,581,000581.SZ,威孚高科,B
2018,587,000587.SZ,金洲慈航,B-
2019,587,000587.SZ,金洲慈航,B-
2023,591,000591.SZ,太阳能,B-
2018,592,000592.SZ,平潭发展,B-
2018,596,000596.SZ,古井贡酒,B-
2019,596,000596.SZ,古井贡酒,B-
2020,596,000596.SZ,古井贡酒,B-
2021,596,000596.SZ,古井贡酒,B-
2022,596,000596.SZ,古井贡酒,B
2023,596,000596.SZ,古井贡酒,B-
2015,598,000598.SZ,兴蓉环境,B-
2015,598,000598.SZ,兴蓉环境,B-
2015,598,000598.SZ,兴蓉环境,B-
2018,598,000598.SZ,兴蓉环境,B-
2019,598,000598.SZ,兴蓉环境,B
2020,598,000598.SZ,兴蓉环境,B
2021,598,000598.SZ,兴蓉环境,B
2022,598,000598.SZ,兴蓉环境,B
2023,598,000598.SZ,兴蓉环境,B
2018,600,000600.SZ,建投能源,C+
2019,600,000600.SZ,建投能源,C+
2020,600,000600.SZ,建投能源,C+
2018,612,000612.SZ,焦作万方,B-
2023,617,000617.SZ,中油资本,B
2015,623,000623.SZ,吉林敖东,C+
2016,623,000623.SZ,吉林敖东,C+
2017,623,000623.SZ,吉林敖东,C+
2018,623,000623.SZ,吉林敖东,B-
2019,623,000623.SZ,吉林敖东,B
2020,623,000623.SZ,吉林敖东,B
2021,623,000623.SZ,吉林敖东,B-
2022,623,000623.SZ,吉林敖东,B-
2023,623,000623.SZ,吉林敖东,B-
2015,625,000625.SZ,长安汽车,C+
2016,625,000625.SZ,长安汽车,C+
2017,625,000625.SZ,长安汽车,C+
2018,625,000625.SZ,长安汽车,C+
2019,625,000625.SZ,长安汽车,B-
2020,625,000625.SZ,长安汽车,B-
2021,625,000625.SZ,长安汽车,B-
2022,625,000625.SZ,长安汽车,B
2023,625,000625.SZ,长安汽车,B
2017,627,000627.SZ,天茂集团,B-
2018,627,000627.SZ,天茂集团,B-
2019,627,000627.SZ,天茂集团,B-
2020,627,000627.SZ,天茂集团,B-
2015,629,000629.SZ,攀钢钒钛,B
2019,629,000629.SZ,攀钢钒钛,B
2020,629,000629.SZ,攀钢钒钛,B
2021,629,000629.SZ,攀钢钒钛,B
2022,629,000629.SZ,钒钛股份,B+
2023,629,000629.SZ,钒钛股份,A-
2015,630,000630.SZ,铜陵有色,C+
2016,630,000630.SZ,铜陵有色,C+
2017,630,000630.SZ,铜陵有色,C+
2018,630,000630.SZ,铜陵有色,C+
2019,630,000630.SZ,铜陵有色,C+
2020,630,000630.SZ,铜陵有色,C+
2021,630,000630.SZ,铜陵有色,B-
2022,630,000630.SZ,铜陵有色,B
2023,630,000630.SZ,铜陵有色,B-
2018,636,000636.SZ,风华高科,C+
2019,636,000636.SZ,风华高科,C+
2020,636,000636.SZ,风华高科,C+
2021,636,000636.SZ,风华高科,C
2022,636,000636.SZ,风华高科,C+
2023,636,000636.SZ,风华高科,C+
2015,651,000651.SZ,格力电器,C+
2016,651,000651.SZ,格力电器,C+
2017,651,000651.SZ,格力电器,C+
2018,651,000651.SZ,格力电器,B-
2019,651,000651.SZ,格力电器,B-
2020,651,000651.SZ,格力电器,C+
2021,651,000651.SZ,格力电器,B-
2022,651,000651.SZ,格力电器,C+
2023,651,000651.SZ,格力电器,C+
2018,656,000656.SZ,金科股份,C+
2019,656,000656.SZ,金科股份,B-
2020,656,000656.SZ,金科股份,C+
2021,656,000656.SZ,金科股份,C+
2022,656,000656.SZ,金科股份,C+
2018,661,000661.SZ,长春高新,B-
2019,661,000661.SZ,长春高新,B-
2020,661,000661.SZ,长春高新,B
2021,661,000661.SZ,长春高新,B-
2022,661,000661.SZ,长春高新,B+
2023,661,000661.SZ,长春高新,B+
2018,667,000667.SZ,美好置业,B-
2017,671,000671.SZ,阳光城,C+
2018,671,000671.SZ,阳光城,C+
2019,671,000671.SZ,阳光城,C+
2020,671,000671.SZ,阳光城,C+
2021,671,000671.SZ,阳光城,B
2018,681,000681.SZ,视觉中国,B-
2019,681,000681.SZ,视觉中国,B-
2020,681,000681.SZ,视觉中国,B-
2021,681,000681.SZ,视觉中国,B-
2023,683,000683.SZ,远兴能源,B-
2018,685,000685.SZ,中山公用,B-
2019,685,000685.SZ,中山公用,B-
2020,685,000685.SZ,中山公用,B-
2021,685,000685.SZ,中山公用,B-
2022,685,000685.SZ,中山公用,B+
2015,686,000686.SZ,东北证券,B-
2016,686,000686.SZ,东北证券,B
2017,686,000686.SZ,东北证券,B-
2018,686,000686.SZ,东北证券,B
2019,686,000686.SZ,东北证券,B-
2020,686,000686.SZ,东北证券,B
2021,686,000686.SZ,东北证券,B
2022,686,000686.SZ,东北证券,B
2018,690,000690.SZ,宝新能源,B
2019,690,000690.SZ,宝新能源,B
2020,690,000690.SZ,宝新能源,B
2021,690,000690.SZ,宝新能源,B
2022,690,000690.SZ,宝新能源,B-
2018,703,000703.SZ,恒逸石化,B-
2019,703,000703.SZ,恒逸石化,B-
2020,703,000703.SZ,恒逸石化,B-
2021,703,000703.SZ,恒逸石化,B-
2022,703,000703.SZ,恒逸石化,B
2023,703,000703.SZ,恒逸石化,B
2020,708,000708.SZ,中信泰富特钢,B
2021,708,000708.SZ,中信泰富特钢,B
2022,708,000708.SZ,中信泰富特钢,B+
2023,708,000708.SZ,中信泰富特钢,B+
2015,709,000709.SZ,河钢股份,B
2016,709,000709.SZ,河钢股份,B-
2017,709,000709.SZ,河钢股份,C+
2018,709,000709.SZ,河钢股份,C
2019,709,000709.SZ,河钢股份,C+
2020,709,000709.SZ,河钢股份,C+
2021,709,000709.SZ,河钢股份,C+
2022,709,000709.SZ,河钢股份,C+
2023,709,000709.SZ,河钢股份,C+
2015,712,000712.SZ,锦龙股份,B-
2016,712,000712.SZ,锦龙股份,B-
2017,712,000712.SZ,锦龙股份,B-
2018,712,000712.SZ,锦龙股份,B-
2019,712,000712.SZ,锦龙股份,B-
2020,712,000712.SZ,锦龙股份,B-
2019,717,000717.SZ,韶钢松山,B-
2020,717,000717.SZ,韶钢松山,B-
2021,717,000717.SZ,韶钢松山,B-
2022,717,000717.SZ,中南股份,B+
2017,718,000718.SZ,苏宁环球,B-
2018,718,000718.SZ,苏宁环球,C+
2019,718,000718.SZ,苏宁环球,C+
2020,718,000718.SZ,苏宁环球,B-
2021,718,000718.SZ,苏宁环球,C+
2022,718,000718.SZ,苏宁环球,B-
2018,723,000723.SZ,美锦能源,C+
2019,723,000723.SZ,美锦能源,C+
2020,723,000723.SZ,美锦能源,C+
2021,723,000723.SZ,美锦能源,C+
2023,723,000723.SZ,美锦能源,B+
2015,725,000725.SZ,京东方,B+
2016,725,000725.SZ,京东方,B+
2017,725,000725.SZ,京东方,B+
2018,725,000725.SZ,京东方,A-
2019,725,000725.SZ,京东方,B+
2020,725,000725.SZ,京东方,B+
2021,725,000725.SZ,京东方,B+
2022,725,000725.SZ,京东方,B+
2023,725,000725.SZ,京东方,B+
2018,727,000727.SZ,冠捷科技,B-
2019,727,000727.SZ,冠捷科技,B-
2015,728,000728.SZ,国元证券,B-
2016,728,000728.SZ,国元证券,B-
2017,728,000728.SZ,国元证券,B-
2018,728,000728.SZ,国元证券,B-
2019,728,000728.SZ,国元证券,B-
2020,728,000728.SZ,国元证券,C+
2021,728,000728.SZ,国元证券,B+
2022,728,000728.SZ,国元证券,A-
2023,728,000728.SZ,国元证券,A-
2015,729,000729.SZ,燕京啤酒,C
2016,729,000729.SZ,燕京啤酒,C+
2017,729,000729.SZ,燕京啤酒,C+
2018,729,000729.SZ,燕京啤酒,B-
2019,729,000729.SZ,燕京啤酒,B-
2020,729,000729.SZ,燕京啤酒,B-
2021,729,000729.SZ,燕京啤酒,B-
2022,729,000729.SZ,燕京啤酒,B
2023,729,000729.SZ,燕京啤酒,B
2018,732,000732.SZ,泰禾集团,C
2019,732,000732.SZ,泰禾集团,C+
2020,732,000732.SZ,泰禾集团,C
2021,732,000732.SZ,泰禾集团,C
2023,733,000733.SZ,振华科技,B-
2015,738,000738.SZ,航发控制,C+
2016,738,000738.SZ,航发控制,C+
2017,738,000738.SZ,航发控制,B-
2018,738,000738.SZ,航发控制,B-
2019,738,000738.SZ,航发控制,B
2020,738,000738.SZ,航发控制,B
2021,738,000738.SZ,航发控制,B
2022,738,000738.SZ,航发控制,B
2023,738,000738.SZ,航发控制,B
2020,739,000739.SZ,普洛药业,B-
2021,739,000739.SZ,普洛药业,B-
2022,739,000739.SZ,普洛药业,B
2023,739,000739.SZ,普洛药业,B
2015,750,000750.SZ,国海证券,B-
2016,750,000750.SZ,国海证券,B
2017,750,000750.SZ,国海证券,B
2018,750,000750.SZ,国海证券,B
2019,750,000750.SZ,国海证券,B
2020,750,000750.SZ,国海证券,B
2021,750,000750.SZ,国海证券,B
2022,750,000750.SZ,国海证券,B+
2023,750,000750.SZ,国海证券,B+
2018,758,000758.SZ,中色股份,B-
2019,758,000758.SZ,中色股份,B-
2020,758,000758.SZ,中色股份,B-
2021,758,000758.SZ,中色股份,B-
2018,761,000761.SZ,本钢板材,C+
2019,761,000761.SZ,本钢板材,B-
2018,762,000762.SZ,西藏矿业,B-
2018,766,000766.SZ,通化金马,B-
2019,766,000766.SZ,通化金马,B-
2015,768,000768.SZ,中航西飞,B-
2016,768,000768.SZ,中航西飞,B
2017,768,000768.SZ,中航西飞,B
2018,768,000768.SZ,中航西飞,B
2019,768,000768.SZ,中航西飞,B
2020,768,000768.SZ,中航西飞,B
2021,768,000768.SZ,中航西飞,B-
2022,768,000768.SZ,中航西飞,B
2023,768,000768.SZ,中航西飞,B
2015,776,000776.SZ,广发证券,B-
2016,776,000776.SZ,广发证券,B-
2017,776,000776.SZ,广发证券,B
2018,776,000776.SZ,广发证券,B+
2019,776,000776.SZ,广发证券,B+
2020,776,000776.SZ,广发证券,B+
2021,776,000776.SZ,广发证券,B+
2022,776,000776.SZ,广发证券,B+
2023,776,000776.SZ,广发证券,B+
2015,778,000778.SZ,新兴铸管,C+
2016,778,000778.SZ,新兴铸管,C+
2016,778,000778.SZ,新兴铸管,C+
2018,778,000778.SZ,新兴铸管,C+
2019,778,000778.SZ,新兴铸管,B-
2020,778,000778.SZ,新兴铸管,B-
2021,778,000778.SZ,新兴铸管,C+
2022,778,000778.SZ,新兴铸管,B-
2023,778,000778.SZ,新兴铸管,B-
2015,783,000783.SZ,长江证券,B-
2016,783,000783.SZ,长江证券,B-
2017,783,000783.SZ,长江证券,B-
2018,783,000783.SZ,长江证券,B-
2019,783,000783.SZ,长江证券,B-
2020,783,000783.SZ,长江证券,B-
2021,783,000783.SZ,长江证券,B-
2022,783,000783.SZ,长江证券,B+
2023,783,000783.SZ,长江证券,B+
2020,785,000785.SZ,居然之家,B-
2022,785,000785.SZ,居然之家,C+
2023,785,000785.SZ,居然之家,B-
2018,786,000786.SZ,北新建材,B-
2019,786,000786.SZ,北新建材,B-
2020,786,000786.SZ,北新建材,B-
2021,786,000786.SZ,北新建材,B-
2022,786,000786.SZ,北新建材,B+
2023,786,000786.SZ,北新建材,A-
2015,792,000792.SZ,盐湖股份,B-
2016,792,000792.SZ,盐湖股份,C
2017,792,000792.SZ,盐湖股份,C
2018,792,000792.SZ,盐湖股份,C+
2022,792,000792.SZ,盐湖股份,C+
2023,792,000792.SZ,盐湖股份,B-
2015,793,000793.SZ,华闻集团,C+
2016,793,000793.SZ,华闻集团,C+
2017,793,000793.SZ,华闻集团,C+
2021,799,000799.SZ,酒鬼酒,B-
2015,800,000800.SZ,一汽解放,B-
2016,800,000800.SZ,一汽解放,C+
2020,800,000800.SZ,一汽解放,B
2021,800,000800.SZ,一汽解放,B
2022,800,000800.SZ,一汽解放,B+
2023,800,000800.SZ,一汽解放,B+
2018,806,000806.SZ,银河生物,C+
2018,807,000807.SZ,云铝股份,B
2019,807,000807.SZ,云铝股份,B
2020,807,000807.SZ,云铝股份,B-
2021,807,000807.SZ,云铝股份,B
2022,807,000807.SZ,云铝股份,B
2023,807,000807.SZ,云铝股份,A-
2018,813,000813.SZ,德展健康,B-
2019,813,000813.SZ,德展健康,B-
2020,813,000813.SZ,德展健康,B-
2021,813,000813.SZ,德展健康,B-
2015,825,000825.SZ,太钢不锈,B+
2016,825,000825.SZ,太钢不锈,B+
2017,825,000825.SZ,太钢不锈,B+
2018,825,000825.SZ,太钢不锈,B+
2020,825,000825.SZ,太钢不锈,B+
2021,825,000825.SZ,太钢不锈,B+
2022,825,000825.SZ,太钢不锈,B+
2023,825,000825.SZ,太钢不锈,B+
2015,826,000826.SZ,启迪环境,C+
2016,826,000826.SZ,启迪环境,B-
2017,826,000826.SZ,启迪环境,B-
2018,826,000826.SZ,启迪环境,C+
2019,826,000826.SZ,启迪环境,B-
