证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
600379.SH,宝光股份,B,2011,70.25,CC,61.67,B,59.06,BBB,82.17
600380.SH,健康元,B,2011,73.7,CC,64.84,B,69.05,BBB,81.36
600381.SH,青海春天,CCC,2011,69.71,CC,63.39,CCC,71.4,B,71.79
600382.SH,ST广珠,B,2011,72.62,C,53.54,B,75.58,BB,79.8
600383.SH,金地集团,BBB,2011,81.12,C,59.68,BBB,86.27,BBB,83.3
600386.SH,北巴传媒,BB,2011,75.18,C,49.57,BB,90.23,BBB,81.19
600387.SH,ST海越,BB,2011,76.64,C,57.33,BB,90.23,BBB,80.43
600388.SH,ST龙净,BB,2011,76.66,CCC,69.62,BB,78.36,BB,79.1
600389.SH,江山股份,B,2011,70.56,C,48.79,B,69.12,BBB,82.64
600390.SH,五矿资本,B,2011,74.6,CCC,67.64,B,67.07,BBB,83.17
600391.SH,航发科技,CCC,2011,68.96,C,54.08,CCC,67.33,BB,77.65
600392.SH,盛和资源,BB,2011,75.56,CCC,66.76,BB,73.21,BBB,81.64
600393.SH,粤泰股份,B,2011,72.69,C,53.31,B,80.14,B,72.02
600395.SH,盘江股份,B,2011,70.51,C,52.56,B,70.19,BB,79.4
600396.SH,金山股份,BB,2011,75.99,CC,64.85,BB,67.17,A,86.53
600397.SH,安源煤业,B,2011,73.43,C,52.56,B,77.91,BBB,80.15
600398.SH,海澜之家,B,2011,72.76,C,55.82,B,67.28,A,85.09
600399.SH,抚顺特钢,CCC,2011,66.35,C,55.88,CCC,62.8,B,74.09
600400.SH,红豆股份,CCC,2011,68.16,C,50.66,CCC,76.11,B,71.74
600403.SH,大有能源,B,2011,73.14,C,48.7,B,72.17,A,85.65
600405.SH,动力源,B,2011,70.25,C,56.23,B,64.93,BBB,81
600406.SH,国电南瑞,B,2011,72.66,C,58.8,B,81.8,BB,75.63
600408.SH,安泰集团,CC,2011,60.83,C,59.25,CC,39.51,BB,76.01
600409.SH,三友化工,B,2011,72.32,CCC,66.3,B,62.8,BBB,81.82
600410.SH,华胜天成,B,2011,73.35,C,52.78,B,83.12,BB,79.44
600415.SH,小商品城,B,2011,71.46,C,52.21,B,77.82,BB,79.49
600416.SH,湘电股份,B,2011,70.7,C,57.84,B,66.12,BBB,80.36
600418.SH,江淮汽车,BB,2011,76.38,CCC,65.74,BB,75.15,BBB,82.64
600419.SH,天润乳业,CCC,2011,68.16,C,57.82,CCC,64.42,BB,75.96
600420.SH,国药现代,B,2011,71.23,C,50.52,B,71.2,BBB,81.82
600421.SH,华嵘控股,CC,2011,62.91,C,52.51,CC,55.39,B,73.3
600422.SH,昆药集团,B,2011,71.31,C,57.61,B,64.63,BBB,82.82
600423.SH,柳化股份,B,2011,73.37,C,59.25,B,70.32,BBB,82.64
600425.SH,青松建化,BB,2011,75.93,CC,63.1,BB,72.04,A,85.09
600426.SH,华鲁恒升,BB,2011,76.4,CC,64.73,BB,71.14,A,85.91
600428.SH,中远海特,CCC,2011,69.08,C,57.61,CCC,56.85,BBB,80.9
600429.SH,三元股份,B,2011,72.2,CC,62.22,B,65.49,BBB,81.82
600433.SH,冠豪高新,BB,2011,75.12,C,55.82,BB,75.89,BBB,84.45
600435.SH,北方导航,B,2011,73.46,CC,61.07,B,76.11,BB,78.01
600436.SH,片仔癀,B,2011,74.08,CC,60.02,B,68.77,BBB,84.84
600438.SH,通威股份,CCC,2011,69.74,C,55.92,CCC,71.31,BB,75.73
600439.SH,瑞贝卡,BB,2011,77.41,CCC,65.66,BB,80.16,BBB,81.56
600444.SH,国机通用,B,2011,71.89,CC,60.58,B,67.28,BBB,80.77
600446.SH,金证股份,B,2011,72.57,C,54.87,B,77.98,BB,79.15
600448.SH,华纺股份,CCC,2011,69.12,C,57.61,CCC,70.45,B,74.09
600449.SH,宁夏建材,BB,2011,76,C,59.25,BB,74.39,A,85.63
600452.SH,涪陵电力,B,2011,73.4,CC,64.52,B,72.94,BB,77.91
600455.SH,博通股份,CC,2011,60.92,C,48.02,CC,57.15,CCC,69.36
600456.SH,宝钛股份,B,2011,72.53,CC,60.98,B,67.77,BBB,81.64
600458.SH,时代新材,BB,2011,76.26,B,72.44,BB,75.99,BB,78.39
600459.SH,贵研铂业,CCC,2011,68.38,C,59.19,CCC,62.45,BB,77.07
600460.SH,士兰微,B,2011,74.98,CC,60.49,B,72.8,BBB,83.84
600461.SH,洪城环境,B,2011,73.7,C,58.78,B,75.95,BB,79.48
600462.SH,ST九有,CC,2011,62.94,C,59.35,CC,58.89,CCC,67.85
600463.SH,空港股份,CCC,2011,68.69,CC,60.33,CCC,56.85,BBB,80.84
600466.SH,蓝光发展,BB,2011,76.11,C,54.89,BB,82.9,BB,76.68
600467.SH,好当家,B,2011,72.55,CCC,66.42,B,61.49,AA,90.13
600468.SH,百利电气,B,2011,74.46,CCC,67.45,B,63.87,A,85.19
600469.SH,风神股份,B,2011,73.83,CC,63.8,B,68.1,BBB,82.82
600470.SH,六国化工,BB,2011,76.36,CC,62.93,BB,74.8,BBB,84.28
600475.SH,华光环能,BB,2011,75.83,CCC,67.99,BB,71.14,BBB,82.99
600476.SH,湘邮科技,CCC,2011,69.27,C,54.87,CCC,71.42,BB,75.63
600477.SH,杭萧钢构,CCC,2011,68.43,C,49.89,CCC,67.99,BB,77.88
600478.SH,科力远,CCC,2011,69.73,C,58.65,CCC,62.63,BBB,80.18
600479.SH,千金药业,CCC,2011,69.3,C,50.66,CCC,66.35,BBB,80.82
600480.SH,凌云股份,B,2011,72.56,C,54.3,B,72.67,BBB,81.82
600481.SH,双良节能,BBB,2011,81.74,BB,79.01,BBB,82.73,BBB,82.46
600482.SH,中国动力,B,2011,71.93,C,59.4,B,67.96,BBB,81
600483.SH,福能股份,B,2011,73.69,CC,64.33,B,66.13,BBB,82.65
600486.SH,扬农化工,BB,2011,76.48,CC,61.65,BB,74.08,A,85.66
600487.SH,亨通光电,B,2011,72.33,CC,64.08,B,71.48,BB,77.11
600488.SH,津药药业,CCC,2011,67.43,C,50.52,CCC,61.34,BBB,80.18
600489.SH,中金黄金,B,2011,72.75,C,55.12,B,76.49,BB,78.47
600490.SH,鹏欣资源,B,2011,71.22,C,55.82,B,67.51,BBB,81.59
600491.SH,龙元建设,CCC,2011,65.85,C,36.67,CCC,66.19,BBB,80.04
600493.SH,凤竹纺织,BB,2011,76.37,CCC,69.48,BB,71.48,BBB,83.2
600495.SH,晋西车轴,B,2011,74.61,CCC,67.13,B,71.98,BBB,80.21
600496.SH,精工钢构,B,2011,70.81,CC,60.85,B,72.34,B,74.7
600497.SH,驰宏锌锗,BB,2011,75.88,C,56.35,BB,79.76,BBB,82.41
600498.SH,烽火通信,BB,2011,77.37,CC,61.11,BB,75.47,A,86.96
600499.SH,科达制造,CCC,2011,68.48,C,50.52,CCC,72.92,B,74.66
600500.SH,中化国际,BB,2011,76.85,CC,62.07,BB,73.8,A,86.45
600501.SH,航天晨光,BB,2011,78.05,CCC,68.88,BB,74.47,A,85.14
600502.SH,安徽建工,B,2011,74.1,CC,62.55,B,76.94,BB,77.88
600503.SH,华丽家族,BB,2011,75.45,CCC,65.02,BB,76.8,BB,77.61
600505.SH,西昌电力,CCC,2011,69.07,C,55.01,CCC,62.02,BB,79.97
600506.SH,香梨股份,CCC,2011,69.64,CC,63.12,CCC,52.96,AA,94.93
600507.SH,方大特钢,CCC,2011,66.12,C,48.79,CCC,63.52,BB,76.73
600508.SH,上海能源,B,2011,74.31,C,54.39,B,75.64,BBB,82.92
600509.SH,天富能源,B,2011,72.04,C,57.73,B,74.23,BB,77.58
600510.SH,黑牡丹,BBB,2011,81.52,CCC,69.01,BBB,82.93,BBB,84.32
600511.SH,国药股份,B,2011,73.79,C,56.22,B,90.23,BB,75.91
600512.SH,腾达建设,B,2011,73.28,CC,60.98,B,75.48,BB,77.88
600513.SH,联环药业,BB,2011,77.31,CC,62.88,BB,74.41,A,86.63
600515.SH,海南机场,CCC,2011,67.78,C,54.89,CCC,75.38,CC,64.84
600516.SH,方大炭素,CCC,2011,67.44,C,48.79,CCC,72.29,B,73.68
600517.SH,国网英大,BB,2011,77.32,BB,75.16,BB,67.27,A,85.19
600518.SH,ST康美,BB,2011,77.36,C,56.03,BB,84.45,BBB,83.46
600519.SH,贵州茅台,BBB,2011,80.07,CCC,66.25,BBB,80.38,A,86.91
600520.SH,文一科技,CCC,2011,69.54,C,58.3,CCC,62.8,BB,79.82
600521.SH,华海药业,B,2011,73.52,C,55.82,B,73.4,BBB,82.64
600522.SH,中天科技,BB,2011,75.04,C,56.72,BB,77.38,BBB,82.82
600523.SH,贵航股份,CCC,2011,69.43,C,55.88,CCC,63.77,BBB,80.18
600525.SH,长园集团,BB,2011,77.61,CCC,67.33,BB,75.97,BBB,83.96
600526.SH,菲达环保,BB,2011,78.13,CCC,66.65,BB,79.05,BBB,83.38
600527.SH,江南高纤,BB,2011,76.24,C,55.88,BB,79.74,BBB,84.28
600528.SH,中铁工业,B,2011,74.62,CC,63.6,B,71.47,BBB,82.38
600529.SH,山东药玻,B,2011,73.88,C,56.09,B,72.9,BBB,83.63
600530.SH,交大昂立,B,2011,71.12,C,54.24,B,62.91,A,85.27
600531.SH,豫光金铅,BB,2011,76.27,CCC,66.76,BB,73.19,BBB,83.2
600532.SH,*ST未来,CC,2011,63.93,C,57.16,CC,68.63,CC,63.7
600533.SH,栖霞建设,BB,2011,79.9,CC,60.06,BB,82.65,BBB,83.83
600535.SH,天士力,B,2011,74.26,C,59.4,B,75.25,BBB,81.18
600536.SH,中国软件,B,2011,73.35,CC,61.46,B,68.25,BBB,81.65
600537.SH,亿晶光电,B,2011,70.9,CC,60.19,B,67.84,BB,78.43
600538.SH,国发股份,B,2011,72.66,C,59.22,B,75.58,BB,77.45
600539.SH,狮头股份,B,2011,71.15,CC,62.07,B,60.59,BBB,82.92
600540.SH,新赛股份,CCC,2011,68.25,CC,64.22,CCC,54.18,A,88.93
600543.SH,莫高股份,B,2011,74.64,C,55.82,B,73.4,A,85.09
600545.SH,卓郎智能,B,2011,70.9,CC,60.98,B,72.04,BB,75.19
600546.SH,山煤国际,BB,2011,79.89,CC,61.21,BB,100,BBB,81.27
600547.SH,山东黄金,B,2011,73.11,C,48.7,B,76.43,BBB,82.41
600548.SH,深高速,BB,2011,76.31,CCC,66.93,BB,73.23,BBB,82.94
600549.SH,厦门钨业,BB,2011,76.26,CCC,66.76,BB,78.03,BB,79.92
600550.SH,保变电气,BB,2011,77.47,B,70.76,BB,72.44,BBB,84.28
600551.SH,时代出版,BBB,2011,81.82,CCC,68.39,BBB,76.09,AA,93.67
600552.SH,凯盛科技,CCC,2011,68.99,C,48.79,CCC,65.01,BBB,82
600556.SH,天下秀,CCC,2011,65.87,C,58.17,CCC,63.06,B,71.04
600557.SH,康缘药业,BB,2011,77.62,CCC,66.21,BB,72.99,A,86.57
600558.SH,大西洋,B,2011,73.2,C,55.88,B,73.53,BBB,81.82
600559.SH,老白干酒,B,2011,70.52,C,59.4,B,65.84,BB,79.36
600560.SH,金自天正,B,2011,72.72,CC,63.39,B,65.47,BBB,82.38
600561.SH,江西长运,B,2011,71.59,CC,63.98,B,65.82,BB,78.41
600562.SH,国睿科技,B,2011,73.15,C,57.45,B,73.4,BBB,81
600563.SH,法拉电子,CCC,2011,68.84,C,55.88,CCC,58.2,BBB,82.64
600565.SH,迪马股份,B,2011,73.53,CC,61.64,B,74.3,BB,76.72
600566.SH,济川药业,B,2011,72.27,C,57.61,B,65.29,BBB,84.45
600567.SH,山鹰国际,B,2011,72.48,C,59.4,B,64.63,BBB,84.45
600568.SH,ST中珠,B,2011,70.15,C,54.24,B,70.95,BB,77.72
600569.SH,安阳钢铁,BB,2011,78.35,B,70.81,BB,72.39,A,86.22
600570.SH,恒生电子,BB,2011,75.77,C,54.87,BB,79.12,BBB,84.88
600571.SH,信雅达,B,2011,74.13,CC,63.7,B,77.41,BB,77.97
600572.SH,康恩贝,B,2011,71.04,C,57.61,B,71.41,BB,77.65
600573.SH,惠泉啤酒,BBB,2011,80.29,CCC,66.76,BBB,81.35,A,86.48
600575.SH,淮河能源,B,2011,71.51,CC,63.31,B,60.82,BBB,80.83
600576.SH,祥源文化,CC,2011,64.45,C,49.2,CC,51.33,BBB,84.33
600577.SH,精达股份,B,2011,73.81,C,58.65,B,75.85,BBB,80.18
600578.SH,京能电力,BB,2011,77.17,CCC,68.42,BB,72.94,BBB,83.86
600579.SH,克劳斯,CC,2011,61.15,C,54.24,CC,60.45,CCC,65.16
600580.SH,卧龙电驱,B,2011,74.51,BB,75.27,B,70.79,BB,76.64
600581.SH,八一钢铁,CCC,2011,68.22,C,57.67,CCC,65.61,BB,75.37
600582.SH,天地科技,BB,2011,77,CC,63.69,BB,77.9,BBB,83.2
600583.SH,海油工程,BB,2011,76.2,C,57.36,BB,82.34,BBB,80.72
600584.SH,长电科技,B,2011,71.32,C,54.08,B,69.33,BBB,81.46
600585.SH,海螺水泥,BB,2011,75.4,CC,63.45,BB,70.79,BBB,84.6
600586.SH,金晶科技,B,2011,73.22,C,57.67,B,71.68,BBB,82.2
600587.SH,新华医疗,CCC,2011,69.95,C,57.4,CCC,64.8,BB,79.82
600588.SH,用友网络,BB,2011,76.66,CC,61.46,BB,83.12,BBB,81.5
600589.SH,ST榕泰,B,2011,70.64,C,55.88,B,63.49,BBB,82.99
600590.SH,泰豪科技,B,2011,72.03,CC,63.56,B,66.35,BBB,80.18
600592.SH,龙溪股份,B,2011,73.84,C,57.52,B,69.63,A,85.02
600593.SH,大连圣亚,CCC,2011,68.82,C,50.83,CCC,59.28,BBB,83.59
600594.SH,益佰制药,B,2011,74.03,C,56.03,B,76.11,BBB,81.82
600595.SH,中孚实业,BB,2011,78,B,73.82,BB,84.22,BB,75.93
600596.SH,新安股份,BB,2011,78.28,CCC,68.88,BB,73.33,A,86.42
600597.SH,光明乳业,BB,2011,79.02,CCC,66.76,BB,76.18,A,87.19
600598.SH,北大荒,B,2011,71.7,CC,64.22,B,61.33,A,88.93
600599.SH,ST熊猫,C,2011,57.46,C,58.65,C,67.07,C,50.19
600600.SH,青岛啤酒,BB,2011,78.53,CCC,69.03,BB,73.68,A,86.65
600601.SH,*ST方科,B,2011,71.83,CC,62.37,B,60.55,BBB,84.28
600602.SH,云赛智联,B,2011,72.47,C,54.87,B,67.35,BBB,83.67
600603.SH,广汇物流,C,2011,55.2,C,51.01,C,57.82,C,55.43
600604.SH,市北高新,B,2011,70.01,C,53.31,B,73.04,B,72.64
600605.SH,汇通能源,BB,2011,75.01,C,59.24,BB,80.46,BB,79.96
600606.SH,绿地控股,B,2011,73.85,C,56.69,B,80.56,B,73.16
600608.SH,ST沪科,CC,2011,61.38,C,55.88,CC,53.04,CCC,69.8
600609.SH,金杯汽车,CC,2011,63.85,C,52.51,CC,58.1,B,73.53
600610.SH,中毅达,CC,2011,62.96,C,52.82,CC,49.17,BB,77.3
600611.SH,大众交通,B,2011,71.36,C,59.31,B,56,BBB,84.9
600612.SH,老凤祥,B,2011,73.44,C,54.24,B,70.82,A,85.01
600613.SH,神奇制药,CCC,2011,67.48,C,50.66,CCC,57.74,BBB,82.64
600615.SH,丰华股份,CCC,2011,66.92,C,57.67,CCC,53.04,BBB,81
600616.SH,金枫酒业,BB,2011,75.22,C,56.86,BB,76.43,BBB,83.79
600617.SH,国新能源,CC,2011,61.79,C,45.72,CC,53.37,B,74.45
600618.SH,氯碱化工,B,2011,71.36,CC,64.73,B,64.09,BB,79.65
600619.SH,海立股份,BB,2011,77.86,B,70.5,BB,72.65,A,85.14
600620.SH,天宸股份,BB,2011,75.37,CC,60.9,BB,68.96,A,86.24
600621.SH,华鑫股份,BB,2011,76.1,C,56.92,BB,81.23,BBB,81.68
600622.SH,光大嘉宝,B,2011,73.49,C,55.16,B,74.71,BB,78.37
600623.SH,华谊集团,B,2011,70.5,C,54.08,B,65.61,BBB,82.17
600624.SH,复旦复华,B,2011,70.99,C,49.9,B,67.41,BBB,83.09
600626.SH,申达股份,B,2011,72.48,C,51.37,B,75.58,BBB,80.49
600628.SH,新世界,BB,2011,77.5,CCC,67.72,BB,85.35,BB,79.11
600629.SH,华建集团,BB,2011,75.14,C,45.8,BB,78.47,A,88.78
600630.SH,龙头股份,B,2011,70.14,C,56.03,B,59.06,BBB,84.81
600633.SH,浙数文化,B,2011,73.44,CC,62.35,B,65,BBB,82.82
600635.SH,大众公用,BB,2011,77.48,C,57.39,BB,82.21,BBB,84.28
600636.SH,国新文化,B,2011,73.41,CC,62.93,B,71.83,BB,79.82
600637.SH,东方明珠,CCC,2011,68.58,C,54.87,CCC,56.92,BBB,80.73
600638.SH,新黄浦,BB,2011,77.4,C,59.84,BB,78.72,BBB,81.93
600639.SH,浦东金桥,BB,2011,79.24,C,56.91,BB,84.57,BBB,81.55
600640.SH,国脉文化,CCC,2011,66.93,C,54.87,CCC,59.14,BB,76.51
600641.SH,万业企业,BB,2011,76.36,CC,61.85,BB,87.08,B,71
600642.SH,申能股份,B,2011,74.44,C,58.49,B,68.83,A,85.38
600643.SH,爱建集团,BB,2011,78.04,CCC,69.41,BB,68.49,A,88.81
600644.SH,乐山电力,B,2011,74.61,CC,60.23,B,71.35,BBB,83.4
600645.SH,中源协和,CCC,2011,67.57,C,50.81,CCC,48.79,AA,90.84
600647.SH,同达创业,B,2011,70.38,C,47.58,B,75.58,BB,78.41
600648.SH,外高桥,B,2011,74.84,C,59.22,B,85.35,BB,78.07
600649.SH,城投控股,BBB,2011,83.89,B,72.66,BBB,88.03,BBB,83.68
600650.SH,锦江在线,CCC,2011,69.47,C,57.1,CCC,52.94,BBB,83.7
600651.SH,飞乐音响,B,2011,72.88,CC,61.88,B,71.01,BB,79.77
600653.SH,申华控股,BB,2011,78.7,CCC,69.71,BB,90.23,BB,78.76
600654.SH,*ST中安,B,2011,73.3,CC,63.8,B,62.06,BBB,83.12
600655.SH,豫园股份,BB,2011,78.06,CC,60,BB,90.23,BBB,81.77
600657.SH,信达地产,BBB,2011,82.47,CC,62.25,BBB,90.14,BBB,81.86
600658.SH,电子城,BBB,2011,83.08,B,70.8,BBB,83.76,A,86.48
600660.SH,福耀玻璃,B,2011,73.6,C,59.25,B,75.25,BB,79.82
600661.SH,昂立教育,BB,2011,75.95,CC,60.22,BB,69.44,A,89.55
600662.SH,外服控股,CCC,2011,69.31,C,59.69,CCC,49.96,BBB,83.25
600663.SH,陆家嘴,B,2011,74.92,C,54.89,B,72.88,BBB,83.45
600664.SH,哈药股份,CC,2011,64.37,C,52.34,CC,64.63,B,70.33
600665.SH,天地源,BB,2011,76.41,C,54.89,BB,82.23,BB,77.99
600666.SH,*ST瑞德,CCC,2011,67.66,C,54.3,CCC,62.45,BB,78.01
600667.SH,太极实业,B,2011,72.04,C,54.3,B,71.01,BBB,81.79
600668.SH,尖峰集团,B,2011,73.4,C,57.45,B,69.33,BBB,84.28
600671.SH,ST目药,C,2011,55.15,C,57.61,C,55.53,C,53.63
600673.SH,东阳光,B,2011,70.04,C,57.67,B,67.33,BB,78.19
600674.SH,川投能源,BB,2011,78.57,CC,60.82,BB,79.88,A,86.26
600675.SH,中华企业,BB,2011,76.13,C,53.88,BB,80.56,BB,79.26
600676.SH,交运股份,CCC,2011,67.8,CC,62.26,CCC,42.68,BBB,82
600678.SH,四川金顶,C,2011,55.72,C,48.79,C,65.87,C,52.42
600679.SH,上海凤凰,CCC,2011,68.39,C,48.92,CCC,60.78,BBB,83.46
600681.SH,百川能源,CC,2011,60.2,C,44.35,CC,53.37,B,71.83
600682.SH,南京新百,CCC,2011,67.69,C,53.35,CCC,80.46,CCC,69.62
600683.SH,京投发展,B,2011,72.9,C,59.84,B,80.39,B,70.11
600684.SH,珠江股份,BB,2011,78.62,C,54.89,BB,80.98,BBB,84.21
600685.SH,中船防务,BB,2011,75.77,C,53.02,BB,75.66,A,87.47
600686.SH,金龙汽车,B,2011,74,C,55.88,B,74.39,BBB,82.99
600688.SH,上海石化,B,2011,74.53,B,72.41,B,70.96,BB,78.03
600689.SH,上海三毛,B,2011,70.74,C,57.61,B,64.26,BBB,81.82
600690.SH,海尔智家,BB,2011,78.97,BBB,84.37,BB,74.25,BB,79.39
600691.SH,阳煤化工,C,2011,53.94,C,54.08,C,57.74,C,51.31
600692.SH,亚通股份,CC,2011,61.99,C,58.08,CC,34.8,BB,76.2
600693.SH,东百集团,BB,2011,78.62,CC,61.99,BB,95.12,BBB,80.31
600694.SH,大商股份,CCC,2011,67.96,C,49.57,CCC,75.58,B,73.32
600696.SH,岩石股份,B,2011,72.76,C,53.31,B,80.98,B,71.38
600697.SH,欧亚集团,BB,2011,76.31,C,51.55,BB,100,BB,79.11
600698.SH,湖南天雁,CCC,2011,67.37,C,54.08,CCC,69.96,B,72.41
600699.SH,均胜电子,C,2011,58.38,C,49.06,C,59.92,CC,62.1
600702.SH,舍得酒业,BB,2011,77.67,B,72.41,BB,78.32,BB,79.92
600703.SH,三安光电,B,2011,72.26,C,59.49,B,64.8,BBB,83.81
600704.SH,物产中大,BBB,2011,82.72,CCC,67.86,BBB,100,BBB,83.4
600705.SH,中航产融,CCC,2011,66.17,CC,61.42,CCC,61.31,B,71.83
600706.SH,曲江文旅,CCC,2011,67.6,C,50.28,CCC,65.5,BB,76.36
600707.SH,彩虹股份,CCC,2011,69.01,C,55.88,CCC,60.78,BBB,81.26
600708.SH,光明地产,BB,2011,77.12,C,54.89,BB,81.65,BBB,80.15
600710.SH,苏美达,B,2011,71.31,C,48.52,B,95.12,B,73.24
600711.SH,盛屯矿业,B,2011,71.38,C,48.7,B,73.67,BBB,80.62
600712.SH,南宁百货,B,2011,73.63,C,47.58,B,95.12,BB,77.72
600713.SH,南京医药,BB,2011,76.44,C,55.34,BB,100,BB,77.72
600714.SH,金瑞矿业,CCC,2011,67.88,C,48.68,CCC,75.77,B,71.28
600715.SH,文投控股,CCC,2011,65.6,C,58.6,CCC,47.09,A,86.83
600716.SH,凤凰股份,BB,2011,75.47,C,56.47,BB,78.47,BB,78.88
600717.SH,天津港,B,2011,70.87,CC,62.77,B,61.31,BB,79.63
600718.SH,东软集团,BBB,2011,82.98,BB,79.45,BBB,88.82,BBB,82.17
600719.SH,ST热电,CCC,2011,65.64,C,55.91,CCC,53.37,BB,77.56
600720.SH,祁连山,B,2011,72.06,C,59.25,B,72.9,BB,78.04
600721.SH,百花医药,CCC,2011,66,C,59.45,CCC,43.24,A,86.63
600722.SH,金牛化工,CCC,2011,67.5,C,56.09,CCC,60.45,BB,78.07
600724.SH,宁波富达,BB,2011,76.58,C,59.62,BB,77.64,BBB,81.17
600725.SH,云维股份,CC,2011,63.32,CC,60.98,CC,32.82,A,85.09
600726.SH,*ST华源,B,2011,74.06,C,59.2,B,74.79,BBB,80.73
600727.SH,鲁北化工,CC,2011,63.64,C,59.14,CC,60.45,CCC,68.09
600728.SH,佳都科技,BB,2011,77.53,B,71.91,BB,80.48,BB,79.08
600729.SH,重庆百货,B,2011,73.39,C,47.58,B,85.35,BBB,80.49
600730.SH,中国高科,BB,2011,76.45,C,54.89,BB,80.98,BB,79.26
600731.SH,湖南海利,B,2011,73.93,CC,63.1,B,67.47,BBB,83.81
600732.SH,爱旭股份,B,2011,73.79,C,56.62,B,73.04,BBB,80.15
600733.SH,北汽蓝谷,BB,2011,78.09,C,55.04,BB,80.98,BBB,82.94
600734.SH,ST实达,B,2011,70.77,CC,63.04,B,74.89,B,71.94
600735.SH,新华锦,CC,2011,63.83,C,50.66,CC,60.91,B,72.53
600736.SH,苏州高新,BB,2011,78.42,B,71.98,BB,81.67,BB,77.46
600737.SH,中粮糖业,B,2011,71.87,CC,60.98,B,66.61,BBB,80.97
600738.SH,丽尚国潮,B,2011,74.3,C,53.54,B,95.12,BB,76.33
600739.SH,辽宁成大,BB,2011,75.03,C,53.35,BB,75.58,BBB,84.12
600740.SH,山西焦化,B,2011,70.66,C,59.19,B,62.8,BBB,81.82
600741.SH,华域汽车,CCC,2011,68.2,C,54.3,CCC,63.77,BB,78.29
600742.SH,一汽富维,B,2011,71.44,C,52.51,B,72.67,BBB,80.29
600743.SH,华远地产,B,2011,72.7,CC,63.22,B,74.71,B,73.92
600744.SH,华银电力,B,2011,70.13,CC,60.23,B,63.25,BB,78.94
600745.SH,闻泰科技,B,2011,72.87,C,52.51,B,73.4,BBB,82.91
600746.SH,江苏索普,CCC,2011,67.56,C,57.67,CCC,55.39,BBB,80.82
600748.SH,上实发展,BBB,2011,80.83,CC,60.68,BBB,83.76,BBB,84.7
600749.SH,西藏旅游,B,2011,72.25,C,49.27,B,74.52,BB,80
600750.SH,江中药业,BB,2011,78.53,CC,64.63,BB,78.23,A,85.83
600751.SH,海航科技,B,2011,72.48,C,47.58,B,80.46,BBB,80.49
600753.SH,东方银星,CCC,2011,68.4,C,47.58,CCC,75.58,B,74.95
600754.SH,锦江酒店,BB,2011,78.39,C,54.25,BB,100,BBB,80.52
600755.SH,厦门国贸,BB,2011,76.55,CC,61.99,BB,95.12,BB,76.68
600756.SH,浪潮软件,B,2011,71.54,C,58.17,B,63.06,BBB,82.09
600757.SH,长江传媒,CC,2011,62.33,C,52.28,CC,47.09,BBB,81.83
600758.SH,辽宁能源,B,2011,73.63,C,52.56,B,76.49,BBB,81.66
600759.SH,ST洲际,B,2011,72.91,C,48.68,B,77.23,BBB,81.37
600760.SH,中航沈飞,B,2011,70.85,C,54.08,B,70.32,BB,79.77
600761.SH,安徽合力,BBB,2011,80.52,CCC,67.24,BBB,81.3,A,86.78
600763.SH,通策医疗,CCC,2011,67.28,C,41.95,CCC,68.94,BBB,83.6
600764.SH,中国海防,CC,2011,62.53,C,52.51,CC,61.64,CCC,68.26
600765.SH,中航重机,B,2011,71.55,CCC,65.02,B,62.27,BBB,81.15
600766.SH,园城黄金,CC,2011,64.54,C,48.68,CC,72.23,CCC,66.48
600767.SH,*ST运盛,CCC,2011,69.27,C,54.87,CCC,76.05,B,73.56
600768.SH,宁波富邦,CC,2011,64.79,C,57.61,CC,60.1,B,71.62
600769.SH,祥龙电业,CCC,2011,65.4,C,55.39,CCC,50.62,BBB,80.36
600770.SH,综艺股份,B,2011,71.59,C,49.41,B,69.47,BBB,83.24
600771.SH,广誉远,CC,2011,60.83,C,54.24,CC,61.64,CC,63.65
600773.SH,西藏城投,BB,2011,79.71,C,59.62,BB,84.32,BBB,81.96
600774.SH,汉商集团,BB,2011,75.59,C,53.35,BB,85.35,BBB,81.9
600775.SH,南京熊猫,BB,2011,77.11,CCC,67.2,BB,73.49,BBB,84.61
600776.SH,东方通信,B,2011,71.1,C,52.51,B,64.42,A,85.09
600777.SH,新潮能源,B,2011,70.12,C,49.41,B,73.68,BB,77.4
600778.SH,友好集团,BB,2011,78.5,C,59.22,BB,95.12,BBB,81.28
600779.SH,水井坊,B,2011,73.53,CC,60.43,B,66.98,BBB,84.63
600780.SH,通宝能源,B,2011,72.36,C,51.36,B,66.13,A,86.08
600781.SH,*ST辅仁,CCC,2011,67.33,C,50.66,CCC,66.98,BB,76.08
600782.SH,新钢股份,CCC,2011,69.49,C,59.25,CCC,60.45,BBB,80.82
600783.SH,鲁信创投,CCC,2011,68.32,C,52.83,CCC,59.39,BBB,81.31
600784.SH,鲁银投资,CCC,2011,67.97,C,55.6,CCC,60.74,BB,78.42
600785.SH,新华百货,BB,2011,77.58,C,53.54,BB,100,BBB,80.49
600787.SH,中储股份,BB,2011,76.24,CC,61.03,BB,70.46,A,87.32
600789.SH,鲁抗医药,B,2011,74,C,59.19,B,71.18,BBB,83.46
600790.SH,轻纺城,CCC,2011,69.99,C,56.56,CCC,69.74,BB,78.65
