证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
000404.SZ,长虹华意,B,2009,73.42,C,59.25,B,71.68,BBB,81.82
000407.SZ,胜利股份,BB,2009,75.6,C,51.51,B,74.79,A,87.59
000408.SZ,藏格矿业,CCC,2009,67,C,55.88,CC,63.13,BB,75.29
000409.SZ,云鼎科技,CCC,2009,68.82,C,51.44,CCC,67,BB,78.05
000410.SZ,*ST沈机,B,2009,72.8,C,55.88,CCC,67.51,A,85.01
000411.SZ,英特集团,BB,2009,76.83,C,55.34,AAA,100,BB,78.41
000413.SZ,东旭光电,CCC,2009,69.98,C,57.45,C,57.74,BBB,84.63
000415.SZ,渤海租赁,CCC,2009,68.49,C,52.51,CCC,68.09,BB,78.87
000416.SZ,民生控股,B,2009,72.38,C,59.69,C,54.4,AA,90.97
000417.SZ,合肥百货,BB,2009,78.35,C,51.65,AAA,100,BBB,82.65
000419.SZ,通程控股,BB,2009,78.19,C,59.31,AAA,100,BB,79.11
000420.SZ,吉林化纤,B,2009,73.42,CC,64.89,CCC,69.46,BBB,80.44
000421.SZ,南京公用,B,2009,71.54,C,47.08,B,70.18,BBB,84.02
000422.SZ,湖北宜化,BB,2009,75.97,CCC,65.02,B,70.84,A,85.02
000423.SZ,东阿阿胶,BB,2009,78.41,CC,60.84,BB,78.54,A,87.29
000425.SZ,徐工机械,BB,2009,75.91,B,70.61,CCC,69.12,BBB,83.2
000426.SZ,兴业矿业,B,2009,71.26,C,49.82,B,74.39,BB,79.26
000428.SZ,华天酒店,CCC,2009,69.83,C,43.71,BBB,83.65,B,74.84
000429.SZ,粤高速A,B,2009,72.39,CC,62.26,C,59.63,BBB,83.7
000430.SZ,张家界,B,2009,70.03,C,52.51,B,70.16,BB,77.17
000488.SZ,晨鸣纸业,BB,2009,76.3,CC,60.98,B,74.03,A,85.66
000498.SZ,山东路桥,CC,2009,62.81,C,53.99,C,55.1,B,72.39
000501.SZ,武商集团,BB,2009,75.71,C,45.69,AAA,100,BBB,80.57
000503.SZ,国新健康,B,2009,74.02,CC,61.27,CCC,65.4,BBB,84.32
000504.SZ,南华生物,CC,2009,63.48,C,45.84,C,48.79,BBB,84.16
000505.SZ,京粮控股,CCC,2009,68.67,C,52.24,CCC,66.35,BB,78.62
000506.SZ,中润资源,B,2009,74.67,C,47.36,BBB,80.03,BBB,83.86
000507.SZ,珠海港,CC,2009,64.9,C,56.36,C,34.8,BBB,82.99
000509.SZ,华塑控股,B,2009,70.54,C,59.4,CCC,66.98,BB,78.62
000510.SZ,新金路,B,2009,73.53,C,59.25,CCC,69.69,BBB,83.42
000513.SZ,丽珠集团,B,2009,71.31,C,57.61,CCC,67.84,BBB,80.64
000514.SZ,渝开发,BB,2009,77.3,C,53.09,B,73.04,A,89.3
000516.SZ,国际医学,B,2009,70.31,C,54.21,CCC,65.23,BBB,84.41
000517.SZ,荣安地产,B,2009,70.29,C,56.69,B,70.54,B,74.55
000518.SZ,四环生物,CCC,2009,66.86,C,47.5,CC,61.64,BBB,80.26
000519.SZ,中兵红箭,CCC,2009,68.22,C,59.4,C,57.74,BB,79.8
000520.SZ,长航凤凰,B,2009,72.53,C,59.31,C,53.37,A,88.4
000521.SZ,长虹美菱,BB,2009,75.89,CCC,65.74,BB,76.01,BBB,81
000523.SZ,广州浪奇,BB,2009,75.65,CCC,67.32,CC,64.98,A,87.09
000524.SZ,岭南控股,CCC,2009,69.66,C,41.55,B,72.75,BB,78.39
000525.SZ,ST红太阳,BB,2009,76.08,C,59.25,B,74.39,A,85.81
000526.SZ,学大教育,CCC,2009,68.72,C,49.92,C,57.62,A,87.81
000528.SZ,柳工,B,2009,72.11,C,59.19,CCC,67.51,BBB,81.82
000529.SZ,广弘控股,CCC,2009,66.58,C,52.87,C,53.04,BBB,82.72
000530.SZ,冰山冷热,B,2009,71.32,C,55.88,C,59.06,A,87.47
000531.SZ,穗恒运A,B,2009,73.06,C,58.4,B,71.9,BBB,80.75
000532.SZ,华金资本,B,2009,71.27,C,55.57,CCC,69.3,BB,79.82
000533.SZ,顺钠股份,B,2009,70.77,CC,60.09,CCC,67.61,BB,78.36
000534.SZ,万泽股份,BB,2009,77.69,C,51.51,A,85.16,BB,79.26
000536.SZ,华映科技,B,2009,74.55,CCC,65.02,CCC,68.93,BBB,83.2
000537.SZ,广宇发展,BB,2009,75.71,C,58.49,BB,78.89,BB,78.37
000538.SZ,云南白药,B,2009,74.35,C,57.61,B,70.82,A,85.27
000539.SZ,粤电力A,BB,2009,75.21,C,54.96,BB,76.87,BBB,83.9
000540.SZ,中天金融,BB,2009,76.82,C,56.24,A,85.16,BB,75.7
000541.SZ,佛山照明,BB,2009,76.06,B,73.44,CC,61.39,A,87.29
000543.SZ,皖能电力,B,2009,72.28,C,59.2,CC,63.25,BBB,83.89
000544.SZ,中原环保,B,2009,73.42,C,56.24,B,70.18,BBB,83.54
000545.SZ,金浦钛业,CC,2009,63.34,C,55.88,CC,60.78,CCC,68.88
000546.SZ,金圆股份,CC,2009,62.87,C,55.86,CCC,68.76,CC,61.23
000547.SZ,航天发展,B,2009,72.51,CC,63.23,CC,61.25,BBB,84.84
000548.SZ,湖南投资,CC,2009,63.9,CC,60.54,C,39.34,BB,76.64
000550.SZ,江铃汽车,B,2009,71.16,C,55.25,CC,61.34,A,85.91
000551.SZ,创元科技,BB,2009,75.78,CC,62.41,BB,75.31,BBB,82.28
000552.SZ,靖远煤电,B,2009,71.76,C,48.77,B,73.03,BBB,81.89
000553.SZ,安道麦A,BB,2009,75.12,CC,63.1,CCC,69.69,BBB,84.92
000554.SZ,泰山石油,BB,2009,77.82,C,55.34,AA,90.23,BBB,83.35
000555.SZ,神州信息,CC,2009,61.5,CC,63.8,C,59.99,CC,61
000557.SZ,西部创业,CC,2009,62.12,C,52.92,C,48.41,B,73.33
000558.SZ,莱茵体育,B,2009,72.18,C,51.51,BB,78.47,B,73.03
000559.SZ,万向钱潮,CCC,2009,68.54,C,51.56,CC,62.91,BBB,81
000560.SZ,我爱我家,B,2009,74.8,C,51.51,B,74.3,BBB,82.94
000561.SZ,烽火电子,CC,2009,62.28,C,51.14,C,57.74,B,71.02
000563.SZ,陕国投A,B,2009,74.47,CC,61.93,CCC,67.36,A,85.4
000564.SZ,ST大集,B,2009,74.28,C,51.37,BBB,80.46,BBB,82.04
000565.SZ,渝三峡A,B,2009,72.14,C,55.88,CCC,66.47,BBB,84.28
000566.SZ,海南海药,CCC,2009,68.94,C,52.24,CCC,66.12,BB,79.36
000567.SZ,海德股份,B,2009,73.42,CC,64.53,C,58.33,A,88.19
000568.SZ,泸州老窖,BB,2009,78.39,CC,63.39,BB,75.75,A,87.83
000570.SZ,苏常柴A,CCC,2009,69.87,C,55.88,CC,61.41,BBB,82.72
000571.SZ,ST大洲,CCC,2009,69.42,C,48.02,CCC,66.86,BBB,81
000572.SZ,海马汽车,B,2009,72.59,C,55.88,CCC,66.98,BBB,84.92
000573.SZ,粤宏远A,CCC,2009,69.9,C,54.67,BB,78.47,CCC,66.79
000576.SZ,甘化科工,B,2009,70.86,CC,60.98,CCC,65.61,BB,79.44
000581.SZ,威孚高科,BB,2009,77.45,CC,63.23,BB,76.05,A,85.66
000582.SZ,北部湾港,CCC,2009,65.48,C,54.64,C,41.24,BBB,82.27
000584.SZ,哈工智能,CCC,2009,68.59,C,50.5,CC,60.78,BBB,83.1
000586.SZ,汇源通信,CC,2009,64.38,C,53.96,C,53.04,BB,77.34
000587.SZ,*ST金洲,CC,2009,61.51,C,57.61,C,53.04,CCC,69.2
000589.SZ,贵州轮胎,B,2009,73.99,C,59.19,CCC,68.47,A,85.27
000590.SZ,启迪药业,B,2009,71.41,C,52.24,CCC,69.96,BBB,82.17
000591.SZ,太阳能,CCC,2009,68.94,C,54.62,CC,60.36,BBB,80.86
000592.SZ,平潭发展,B,2009,71.71,CCC,65.32,C,58.31,AA,92.53
000593.SZ,德龙汇能,CCC,2009,68.43,C,47.65,CCC,67.79,BB,78.73
000595.SZ,宝塔实业,BB,2009,78.58,CC,64.89,B,73.76,A,88.82
000596.SZ,古井贡酒,B,2009,70.35,C,57.61,CC,61.77,BBB,82.64
000597.SZ,东北制药,B,2009,71.09,C,59.19,CC,60.55,BBB,84.28
000598.SZ,兴蓉环境,CCC,2009,69.88,C,50.83,B,74.79,BB,76.08
000599.SZ,青岛双星,B,2009,71.08,CC,64.84,C,57.74,BBB,83.25
000600.SZ,建投能源,B,2009,71.5,C,55.11,CCC,66.13,BBB,82.51
000601.SZ,韶能股份,BB,2009,75.47,C,58.87,CCC,69.63,A,86.86
000603.SZ,盛达资源,C,2009,58.57,C,48.77,CCC,68.77,C,55.71
000605.SZ,渤海股份,C,2009,57.83,C,49.09,BB,75.95,C,51.26
000606.SZ,*ST顺利,BB,2009,76.52,CC,63.8,CCC,69.91,A,85.91
000607.SZ,华媒控股,B,2009,73.01,C,52.28,CC,63.79,AA,91.67
000608.SZ,阳光股份,BB,2009,79.31,C,55.11,BBB,83.9,BBB,82.94
000609.SZ,中迪投资,B,2009,74.98,CC,60.4,B,70.43,BBB,84.7
000610.SZ,西安旅游,CCC,2009,66.62,C,47.88,C,54.62,BBB,83.59
000612.SZ,焦作万方,BB,2009,77.72,B,72.41,CCC,69.98,A,85.66
000615.SZ,奥园美谷,B,2009,70.6,C,58.49,B,73.46,B,71.88
000616.SZ,ST海投,BBB,2009,80.38,C,53.09,A,85.16,BBB,84.86
000617.SZ,中油资本,BB,2009,76.38,CC,64.53,CCC,69.46,A,86.85
000619.SZ,海螺新材,B,2009,71.1,C,59.4,C,57.74,A,86.09
000620.SZ,新华联,B,2009,70.57,C,53.09,B,74.71,B,72.42
000622.SZ,恒立实业,CCC,2009,69.17,C,57.61,CC,62.27,BB,79.72
000623.SZ,吉林敖东,BB,2009,76.69,CC,63.39,B,73.47,A,85.66
000625.SZ,长安汽车,B,2009,74.72,C,56.92,B,71.98,A,85.66
000626.SZ,远大控股,B,2009,71.52,C,45.69,AA,90.23,BB,76.41
000627.SZ,天茂集团,BB,2009,79.82,CCC,67.62,BB,76.92,A,87.65
000628.SZ,高新发展,CC,2009,64.3,C,44.98,CC,60.37,BB,76.51
000629.SZ,钒钛股份,BB,2009,75.61,CCC,69.72,CCC,69.12,BBB,83
000630.SZ,铜陵有色,BBB,2009,81.1,CC,64.97,BB,79.52,AA,90.41
000631.SZ,顺发恒业,B,2009,73.34,C,56.69,BBB,80.98,B,71.59
000632.SZ,三木集团,B,2009,74.62,C,56.31,A,85.35,BB,78.92
000633.SZ,合金投资,CCC,2009,68.58,CC,60.09,C,58.2,BB,79.9
000635.SZ,英力特,BB,2009,77.54,CC,63.23,BB,78.76,BBB,84.02
000636.SZ,风华高科,B,2009,70.06,C,55.88,CC,60.55,BBB,83.72
000637.SZ,茂化实华,B,2009,72.94,C,59.4,CCC,68.83,BBB,82.64
000638.SZ,万方发展,B,2009,74.2,CC,62.16,B,74.49,BBB,80.18
000639.SZ,西王食品,CCC,2009,69.12,C,52.24,C,58.2,A,85.09
000650.SZ,仁和药业,B,2009,72.5,C,52.87,CCC,68.7,A,85.09
000651.SZ,格力电器,BB,2009,75.99,B,74.88,CC,64.92,BBB,84.02
000652.SZ,泰达股份,BBB,2009,81.2,CCC,67.72,AAA,95.12,BBB,82.39
000655.SZ,金岭矿业,BB,2009,77.16,C,51.74,BB,79.52,A,87.66
000656.SZ,金科股份,BB,2009,76.58,CC,60.29,B,74.71,BBB,83.71
000657.SZ,中钨高新,CCC,2009,67.59,C,52.87,CC,60.55,BB,79.85
000659.SZ,珠海中富,B,2009,71.55,C,53.82,CCC,67.84,BBB,83.1
000661.SZ,长春高新,B,2009,72.88,C,52.24,BB,75.25,BBB,81.82
000663.SZ,永安林业,B,2009,73.95,B,73.34,CC,63.13,BBB,81.56
000665.SZ,湖北广电,B,2009,74.78,C,54.88,CCC,68.03,AA,90.67
000666.SZ,经纬纺机,BB,2009,76.69,C,59.4,BB,78.92,BBB,84.02
000667.SZ,美好置业,BBB,2009,83.94,C,57.3,A,87.61,A,89.23
000668.SZ,荣丰控股,B,2009,74.15,C,53.09,BB,78.89,BB,76.59
000669.SZ,ST金鸿,CCC,2009,65.42,C,43.79,C,59.14,BB,79.48
000670.SZ,盈方微,CCC,2009,69.7,C,45.76,B,71.68,BBB,80.59
000671.SZ,阳光城,BB,2009,75.64,CCC,69.01,BB,77.5,BB,76.06
000672.SZ,上峰水泥,CCC,2009,66.21,C,51.14,C,57.74,BB,79.62
000676.SZ,智度股份,CC,2009,64.21,C,47.84,CC,62.06,B,73.49
000677.SZ,恒天海龙,CCC,2009,69.3,C,57.45,CCC,67.84,BB,76.34
000678.SZ,襄阳轴承,CCC,2009,67.83,C,45.76,CCC,65.26,BBB,80.82
000679.SZ,大连友谊,BB,2009,75.09,C,45.69,A,85.35,BBB,84.29
000680.SZ,山推股份,BB,2009,75.59,CC,63.66,B,72.11,BBB,84.02
000681.SZ,视觉中国,BB,2009,76.54,C,52.28,B,70.95,AA,93.33
000682.SZ,东方电子,B,2009,71.12,C,51.94,CC,64.93,A,85.09
